repository_name,site,views,unique_visitors/cloners
osprey,Google,111,41
osprey,github.com,51,7
osprey,schorschinho.github.io,23,9
osprey,mrshub.org,23,6
osprey,mrshub.netlify.app,10,5
osprey,Bing,9,3
osprey,teams.microsoft.com,9,2
osprey,StartPage,7,1
osprey,DuckDuckGo,4,2
osprey,specfitlab.com,4,1
