repository_name,date,views,unique
LCModel,2022-12-26,2,1
LCModel,2022-12-28,1,1
LCModel,2022-12-29,1,1
LCModel,2022-12-30,1,1
LCModel,2022-12-31,3,2
LCModel,2023-01-01,9,2
LCModel,2023-01-02,1,1
LCModel,2023-01-04,1,1
LCModel,2023-01-06,4,1
LCModel,2023-01-07,5,3
LCModel,2023-01-09,5,1
LCModel,2023-01-10,11,2
LCModel,2023-01-12,1,1
LCModel,2023-01-13,10,5
LCModel,2023-01-15,3,1
LCModel,2023-01-16,15,3
LCModel,2023-01-17,8,3
LCModel,2023-01-18,9,4
LCModel,2023-01-19,20,4
LCModel,2023-01-20,4,3
LCModel,2023-01-21,1,1
LCModel,2023-01-23,8,2
LCModel,2023-01-24,2,2
LCModel,2023-01-25,39,4
LCModel,2023-01-26,15,4
LCModel,2023-01-27,5,3
LCModel,2023-01-29,3,2
LCModel,2023-01-30,6,3
LCModel,2023-01-31,3,3
LCModel,2023-02-01,9,4
LCModel,2023-02-02,5,1
LCModel,2023-02-03,26,5
LCModel,2023-02-05,1,1
LCModel,2023-02-06,1,1
LCModel,2023-02-07,3,2
LCModel,2023-02-08,7,2
LCModel,2023-02-09,9,4
LCModel,2023-02-10,2,1
LCModel,2023-02-11,9,5
LCModel,2023-02-12,27,5
LCModel,2023-02-13,30,6
LCModel,2023-02-14,3,3
LCModel,2023-02-15,16,6
LCModel,2023-02-16,9,6
LCModel,2023-02-17,18,3
LCModel,2023-02-18,2,1
LCModel,2023-02-19,3,2
LCModel,2023-02-20,7,4
LCModel,2023-02-21,19,3
LCModel,2023-02-22,23,7
LCModel,2023-02-24,1,1
LCModel,2023-02-26,13,2
LCModel,2023-02-27,1,1
LCModel,2023-02-28,4,2
LCModel,2023-03-01,21,5
LCModel,2023-03-02,8,5
LCModel,2023-03-03,12,4
LCModel,2023-03-05,1,1
LCModel,2023-03-06,12,4
LCModel,2023-03-07,5,3
LCModel,2023-03-08,9,4
LCModel,2023-03-09,6,2
LCModel,2023-03-10,13,4
LCModel,2023-03-11,2,2
LCModel,2023-03-12,6,2
LCModel,2023-03-13,7,3
LCModel,2023-03-14,6,4
LCModel,2023-03-15,11,4
LCModel,2023-03-16,4,2
LCModel,2023-03-17,6,3
LCModel,2023-03-18,11,1
LCModel,2023-03-19,3,1
LCModel,2023-03-20,51,5
LCModel,2023-03-21,18,6
LCModel,2023-03-22,3,3
LCModel,2023-03-23,24,6
LCModel,2023-03-24,9,2
LCModel,2023-03-25,12,3
LCModel,2023-03-26,10,2
LCModel,2023-03-27,10,3
LCModel,2023-03-28,15,9
LCModel,2023-03-29,17,9
LCModel,2023-03-30,11,5
LCModel,2023-03-31,1,1
LCModel,2023-04-02,3,1
LCModel,2023-04-03,8,2
LCModel,2023-04-04,22,6
LCModel,2023-04-05,4,2
LCModel,2023-04-06,17,5
LCModel,2023-04-07,8,3
LCModel,2023-04-08,1,1
LCModel,2023-04-09,3,1
LCModel,2023-04-10,8,4
LCModel,2023-04-11,10,6
LCModel,2023-04-12,4,3
LCModel,2023-04-13,6,3
LCModel,2023-04-14,31,8
LCModel,2023-04-15,4,3
LCModel,2023-04-16,4,3
LCModel,2023-04-17,7,3
LCModel,2023-04-18,7,3
LCModel,2023-04-19,12,3
LCModel,2023-04-20,8,3
LCModel,2023-04-21,9,1
LCModel,2023-04-22,4,2
LCModel,2023-04-24,15,5
LCModel,2023-04-25,4,2
LCModel,2023-04-26,3,2
LCModel,2023-04-27,19,7
LCModel,2023-04-28,7,2
LCModel,2023-04-29,7,5
LCModel,2023-04-30,8,2
LCModel,2023-05-01,14,3
LCModel,2023-05-02,8,1
LCModel,2023-05-03,15,3
LCModel,2023-05-04,11,5
LCModel,2023-05-05,13,6
LCModel,2023-05-06,1,1
LCModel,2023-05-07,1,1
LCModel,2023-05-08,2,1
LCModel,2023-05-09,4,3
LCModel,2023-05-10,8,3
LCModel,2023-05-11,4,3
LCModel,2023-05-12,12,2
LCModel,2023-05-15,5,2
LCModel,2023-05-16,6,1
LCModel,2023-05-17,7,3
LCModel,2023-05-18,15,4
LCModel,2023-05-19,2,2
LCModel,2023-05-20,17,2
LCModel,2023-05-21,1,1
LCModel,2023-05-22,18,5
LCModel,2023-05-23,35,4
LCModel,2023-05-24,13,4
LCModel,2023-05-25,2,1
LCModel,2023-05-26,1,1
LCModel,2023-05-27,1,1
LCModel,2023-05-29,14,5
LCModel,2023-05-30,5,4
LCModel,2023-05-31,3,2
LCModel,2023-06-01,13,5
LCModel,2023-06-02,1,1
LCModel,2023-06-03,1,1
LCModel,2023-06-05,3,2
LCModel,2023-06-06,6,3
LCModel,2023-06-07,35,5
LCModel,2023-06-08,27,10
LCModel,2023-06-09,6,4
LCModel,2023-06-12,6,4
LCModel,2023-06-13,9,5
LCModel,2023-06-14,2,2
LCModel,2023-06-15,2,1
LCModel,2023-06-16,1,1
LCModel,2023-06-18,5,1
LCModel,2023-06-19,8,6
LCModel,2023-06-20,7,5
LCModel,2023-06-21,10,5
LCModel,2023-06-22,7,2
LCModel,2023-06-23,2,1
LCModel,2023-06-25,1,1
LCModel,2023-06-26,4,3
LCModel,2023-06-27,145,7
LCModel,2023-06-28,3,3
LCModel,2023-06-29,28,7
LCModel,2023-06-30,2,2
LCModel,2023-07-01,1,1
LCModel,2023-07-03,16,5
LCModel,2023-07-04,9,3
LCModel,2023-07-06,21,5
LCModel,2023-07-07,2,2
LCModel,2023-07-10,4,3
LCModel,2023-07-11,5,3
LCModel,2023-07-12,13,1
LCModel,2023-07-13,10,2
LCModel,2023-07-14,3,1
LCModel,2023-07-17,114,5
LCModel,2023-07-18,52,3
LCModel,2023-07-19,4,2
LCModel,2023-07-20,47,7
LCModel,2023-07-21,3,1
LCModel,2023-07-22,28,2
LCModel,2023-07-23,4,2
LCModel,2023-07-24,2,2
LCModel,2023-07-25,42,1
LCModel,2023-07-26,8,4
LCModel,2023-07-27,31,7
LCModel,2023-07-28,19,3
LCModel,2023-07-29,1,1
LCModel,2023-07-30,15,2
LCModel,2023-07-31,6,2
LCModel,2023-08-01,21,3
LCModel,2023-08-02,5,2
LCModel,2023-08-03,6,4
LCModel,2023-08-04,1,1
LCModel,2023-08-05,1,1
LCModel,2023-08-06,6,1
LCModel,2023-08-07,5,5
LCModel,2023-08-08,12,3
LCModel,2023-08-09,12,8
LCModel,2023-08-10,10,2
LCModel,2023-08-11,77,2
LCModel,2023-08-15,12,6
LCModel,2023-08-16,77,3
LCModel,2023-08-17,8,1
LCModel,2023-08-18,32,5
LCModel,2023-08-22,52,2
LCModel,2023-08-23,2,2
LCModel,2023-08-24,30,3
LCModel,2023-08-25,10,1
LCModel,2023-08-27,5,1
LCModel,2023-08-28,41,4
LCModel,2023-08-29,12,5
LCModel,2023-08-30,11,4
LCModel,2023-08-31,23,5
LCModel,2023-09-01,36,3
LCModel,2023-09-02,1,1
LCModel,2023-09-03,1,1
LCModel,2023-09-04,36,4
LCModel,2023-09-05,25,4
LCModel,2023-09-06,33,2
LCModel,2023-09-07,4,2
LCModel,2023-09-08,37,3
LCModel,2023-09-09,5,3
LCModel,2023-09-11,20,1
LCModel,2023-09-12,1,1
LCModel,2023-09-13,3,3
LCModel,2023-09-14,1,1
LCModel,2023-09-15,4,3
LCModel,2023-09-16,4,1
LCModel,2023-09-17,1,1
LCModel,2023-09-18,38,8
LCModel,2023-09-19,20,3
LCModel,2023-09-20,1,1
LCModel,2023-09-21,17,7
LCModel,2023-09-22,1,1
LCModel,2023-09-23,11,2
LCModel,2023-09-25,10,2
LCModel,2023-09-26,24,5
LCModel,2023-09-27,33,4
LCModel,2023-09-28,41,4
LCModel,2023-09-29,99,2
LCModel,2023-09-30,1,1
LCModel,2023-10-01,2,2
LCModel,2023-10-02,26,2
LCModel,2023-10-03,24,4
LCModel,2023-10-04,4,2
LCModel,2023-10-05,78,3
LCModel,2023-10-07,2,1
LCModel,2023-10-09,2,2
LCModel,2023-10-10,98,6
LCModel,2023-10-11,56,5
LCModel,2023-10-12,5,2
LCModel,2023-10-13,23,1
LCModel,2023-10-14,11,2
LCModel,2023-10-15,6,2
LCModel,2023-10-16,24,4
LCModel,2023-10-17,10,3
LCModel,2023-10-18,8,2
LCModel,2023-10-19,3,2
LCModel,2023-10-20,2,1
LCModel,2023-10-22,4,1
LCModel,2023-10-23,18,3
LCModel,2023-10-24,11,2
LCModel,2023-10-25,1,1
LCModel,2023-10-27,1,1
LCModel,2023-10-28,6,2
LCModel,2023-10-29,16,2
LCModel,2023-10-30,5,3
LCModel,2023-10-31,42,5
LCModel,2023-11-01,17,5
LCModel,2023-11-02,85,5
LCModel,2023-11-03,6,1
LCModel,2023-11-04,5,2
LCModel,2023-11-05,2,1
LCModel,2023-11-06,24,2
LCModel,2023-11-07,1,1
LCModel,2023-11-08,5,3
LCModel,2023-11-09,17,3
LCModel,2023-11-10,2,1
LCModel,2023-11-13,4,3
LCModel,2023-11-14,5,4
LCModel,2023-11-15,11,3
LCModel,2023-11-16,22,3
LCModel,2023-11-17,5,3
LCModel,2023-11-18,7,3
LCModel,2023-11-19,25,2
LCModel,2023-11-20,7,4
LCModel,2023-11-21,13,5
LCModel,2023-11-22,25,6
LCModel,2023-11-23,7,4
LCModel,2023-11-24,16,2
LCModel,2023-11-25,4,3
LCModel,2023-11-26,10,2
LCModel,2023-11-27,10,3
LCModel,2023-11-28,6,4
LCModel,2023-11-29,61,5
LCModel,2023-11-30,200,8
LCModel,2023-12-01,156,6
LCModel,2023-12-02,11,4
LCModel,2023-12-03,19,1
LCModel,2023-12-04,106,5
LCModel,2023-12-05,20,6
LCModel,2023-12-06,243,3
LCModel,2023-12-07,52,4
LCModel,2023-12-08,37,4
LCModel,2023-12-09,19,1
