date,path,title,count,uniques
2024-01-17,/schorschinho/LCModel,schorschinho/LCModel: A collection of compiled LCModel binaries for various o...,39,27
2024-01-17,/schorschinho/LCModel/blob/main/binaries/win/win10/LCModel.exe.zip,LCModel/binaries/win/win10/LCModel.exe.zip at main · schorschinho/LCModel · G...,39,10
2024-01-17,/schorschinho/LCModel/tree/main/binaries,LCModel/binaries at main · schorschinho/LCModel · GitHub,20,6
2024-01-17,/schorschinho/LCModel/tree/main/source,LCModel/source at main · schorschinho/LCModel · GitHub,12,4
2024-01-17,/schorschinho/LCModel/blob/main/source/LCModel.f,LCModel/source/LCModel.f at main · schorschinho/LCModel · GitHub,10,4
2024-01-17,/schorschinho/LCModel/tree/main/binaries/win/win10,LCModel/binaries/win/win10 at main · schorschinho/LCModel · GitHub,9,4
2024-01-17,/schorschinho/LCModel/blob/main/binaries/linux/lcmodel.xz,LCModel/binaries/linux/lcmodel.xz at main · schorschinho/LCModel · GitHub,9,3
2024-01-17,/schorschinho/LCModel/tree/main,GitHub - schorschinho/LCModel: A collection of compiled LCModel binaries for ...,7,4
2024-01-17,/schorschinho/LCModel/blob/main/Makefile,LCModel/Makefile at main · schorschinho/LCModel · GitHub,6,3
2024-01-17,/schorschinho/LCModel/blob/main/binaries/macos/catalina/m1/lcmodel.zip,File not found · GitHub,6,2
