repository_name,site,views,unique_visitors/cloners
osprey,github.com,99,8
osprey,Google,69,27
osprey,mrshub.netlify.app,43,1
osprey,schorschinho.github.io,21,8
osprey,mrshub.org,18,8
osprey,forum.mrshub.org,12,5
osprey,Bing,12,3
osprey,DuckDuckGo,6,3
osprey,nitrc.org,3,2
osprey,gabamrs.com,3,1
